Validation_Set,Topics,Alpha,Beta,Coherence
100% Corpus,4,0.9099999999999999,0.31,0.2731614664027906
100% Corpus,4,0.9099999999999999,0.61,0.26171875372148007
100% Corpus,4,0.9099999999999999,0.9099999999999999,0.2730616749125107
100% Corpus,4,0.9099999999999999,symmetric,0.26916781974377685
100% Corpus,4,symmetric,0.01,0.2632375870789379
100% Corpus,4,symmetric,0.31,0.2627614774762534
100% Corpus,4,symmetric,0.61,0.2620676172940193
100% Corpus,4,symmetric,0.9099999999999999,0.27252337861039344
100% Corpus,4,symmetric,symmetric,0.2716919460033459
100% Corpus,4,asymmetric,0.01,0.271679903491764
100% Corpus,4,asymmetric,0.31,0.26785533945105583
100% Corpus,4,asymmetric,0.61,0.2620676172940193
100% Corpus,4,asymmetric,0.9099999999999999,0.2725233786103934
100% Corpus,4,asymmetric,symmetric,0.2716919460033459
100% Corpus,5,0.01,0.01,0.24950749836665506
100% Corpus,5,0.01,0.31,0.25728818800312736
100% Corpus,5,0.01,0.61,0.25432616093138033
100% Corpus,5,0.01,0.9099999999999999,0.24054949774524154
100% Corpus,5,0.01,symmetric,0.2572563829742469
100% Corpus,5,0.31,0.01,0.24950749836665498
100% Corpus,5,0.31,0.31,0.2548069168041752
100% Corpus,5,0.31,0.61,0.25631691831992165
100% Corpus,5,0.31,0.9099999999999999,0.24542422476148867
100% Corpus,5,0.31,symmetric,0.2572563829742469
100% Corpus,5,0.61,0.01,0.24950749836665506
100% Corpus,5,0.61,0.31,0.2548069168041752
100% Corpus,5,0.61,0.61,0.2563169183199217
100% Corpus,5,0.61,0.9099999999999999,0.24542422476148862
100% Corpus,5,0.61,symmetric,0.2531040709139206
100% Corpus,5,0.9099999999999999,0.01,0.24950749836665498
100% Corpus,5,0.9099999999999999,0.31,0.2548069168041752
100% Corpus,5,0.9099999999999999,0.61,0.25631691831992165
100% Corpus,5,0.9099999999999999,0.9099999999999999,0.2523455770388006
100% Corpus,5,0.9099999999999999,symmetric,0.25107451341239706
100% Corpus,5,symmetric,0.01,0.24950749836665506
100% Corpus,5,symmetric,0.31,0.2548069168041752
100% Corpus,5,symmetric,0.61,0.25432616093138033
100% Corpus,5,symmetric,0.9099999999999999,0.24542422476148867
100% Corpus,5,symmetric,symmetric,0.2572563829742469
100% Corpus,5,asymmetric,0.01,0.24950749836665506
100% Corpus,5,asymmetric,0.31,0.2531040709139205
100% Corpus,5,asymmetric,0.61,0.2555384015399499
100% Corpus,5,asymmetric,0.9099999999999999,0.2483559687370498
100% Corpus,5,asymmetric,symmetric,0.2572563829742469
100% Corpus,6,0.01,0.01,0.26220369533691607
100% Corpus,6,0.01,0.31,0.2527973558984356
100% Corpus,6,0.01,0.61,0.26932078673671667
100% Corpus,6,0.01,0.9099999999999999,0.3527084631052127
100% Corpus,6,0.01,symmetric,0.2588770303791124
100% Corpus,6,0.31,0.01,0.26005419815312697
100% Corpus,6,0.31,0.31,0.25613899209433005
100% Corpus,6,0.31,0.61,0.2735116893663408
100% Corpus,6,0.31,0.9099999999999999,0.35533284392699277
100% Corpus,6,0.31,symmetric,0.25801450222735645
100% Corpus,6,0.61,0.01,0.26005419815312697
100% Corpus,6,0.61,0.31,0.25466393152408157
100% Corpus,6,0.61,0.61,0.26628459272850397
100% Corpus,6,0.61,0.9099999999999999,0.35533284392699277
100% Corpus,6,0.61,symmetric,0.25801450222735645
100% Corpus,6,0.9099999999999999,0.01,0.26005419815312697
100% Corpus,6,0.9099999999999999,0.31,0.25346086322305944
100% Corpus,6,0.9099999999999999,0.61,0.2657897863314944
100% Corpus,6,0.9099999999999999,0.9099999999999999,0.3553087348815944
100% Corpus,6,0.9099999999999999,symmetric,0.25765468304074335
100% Corpus,6,symmetric,0.01,0.26220369533691607
100% Corpus,6,symmetric,0.31,0.25612499115548154
100% Corpus,6,symmetric,0.61,0.26816033405715617
100% Corpus,6,symmetric,0.9099999999999999,0.35533284392699277
100% Corpus,6,symmetric,symmetric,0.2588770303791124
100% Corpus,6,asymmetric,0.01,0.26220369533691607
100% Corpus,6,asymmetric,0.31,0.2570152053430928
100% Corpus,6,asymmetric,0.61,0.2619100820879585
100% Corpus,6,asymmetric,0.9099999999999999,0.35429510634089595
100% Corpus,6,asymmetric,symmetric,0.2588770303791124
100% Corpus,7,0.01,0.01,0.266625091484418
100% Corpus,7,0.01,0.31,0.26585783410126723
100% Corpus,7,0.01,0.61,0.3275947728191681
100% Corpus,7,0.01,0.9099999999999999,0.32804170280102707
100% Corpus,7,0.01,symmetric,0.2626378377436949
100% Corpus,7,0.31,0.01,0.2649834922995732
100% Corpus,7,0.31,0.31,0.2658578341012673
100% Corpus,7,0.31,0.61,0.3263178730313088
100% Corpus,7,0.31,0.9099999999999999,0.32804170280102707
100% Corpus,7,0.31,symmetric,0.2675626759818563
100% Corpus,7,0.61,0.01,0.2675651654403965
100% Corpus,7,0.61,0.31,0.2679203300302037
100% Corpus,7,0.61,0.61,0.3262981554664433
100% Corpus,7,0.61,0.9099999999999999,0.32520823522415626
100% Corpus,7,0.61,symmetric,0.26620814390858566
100% Corpus,7,0.9099999999999999,0.01,0.26703086071894216
100% Corpus,7,0.9099999999999999,0.31,0.2679203300302037
100% Corpus,7,0.9099999999999999,0.61,0.3265077082627657
100% Corpus,7,0.9099999999999999,0.9099999999999999,0.3331722386456118
100% Corpus,7,0.9099999999999999,symmetric,0.2652918566201744
100% Corpus,7,symmetric,0.01,0.26610454520309823
100% Corpus,7,symmetric,0.31,0.2658578341012673
100% Corpus,7,symmetric,0.61,0.3275947728191681
100% Corpus,7,symmetric,0.9099999999999999,0.3280417028010271
100% Corpus,7,symmetric,symmetric,0.2660933265910151
100% Corpus,7,asymmetric,0.01,0.2646302228743961
100% Corpus,7,asymmetric,0.31,0.26478938777427175
100% Corpus,7,asymmetric,0.61,0.3247457550652749
100% Corpus,7,asymmetric,0.9099999999999999,0.32804170280102707
100% Corpus,7,asymmetric,symmetric,0.269740589361868
100% Corpus,8,0.01,0.01,0.2598186676255423
100% Corpus,8,0.01,0.31,0.2596002332292163
100% Corpus,8,0.01,0.61,0.33390674392086955
100% Corpus,8,0.01,0.9099999999999999,0.3055327342509573
100% Corpus,8,0.01,symmetric,0.2597577307989119
100% Corpus,8,0.31,0.01,0.25864017659616917
100% Corpus,8,0.31,0.31,0.2594337481678295
100% Corpus,8,0.31,0.61,0.3339067439208696
100% Corpus,8,0.31,0.9099999999999999,0.2936934675667984
100% Corpus,8,0.31,symmetric,0.2595007252278174
100% Corpus,8,0.61,0.01,0.2579245001961498
100% Corpus,8,0.61,0.31,0.257656883276826
100% Corpus,8,0.61,0.61,0.33672520022697694
100% Corpus,8,0.61,0.9099999999999999,0.2936934675667984
100% Corpus,8,0.61,symmetric,0.25929073423934934
100% Corpus,8,0.9099999999999999,0.01,0.25835105296179495
100% Corpus,8,0.9099999999999999,0.31,0.255082663822453
100% Corpus,8,0.9099999999999999,0.61,0.33384091729012055
100% Corpus,8,0.9099999999999999,0.9099999999999999,0.29432572700454473
100% Corpus,8,0.9099999999999999,symmetric,0.25929073423934934
100% Corpus,8,symmetric,0.01,0.2598186676255423
100% Corpus,8,symmetric,0.31,0.2594337481678295
100% Corpus,8,symmetric,0.61,0.33390674392086955
100% Corpus,8,symmetric,0.9099999999999999,0.3055327342509573
100% Corpus,8,symmetric,symmetric,0.26067921625719054
100% Corpus,8,asymmetric,0.01,0.26183250336441755
100% Corpus,8,asymmetric,0.31,0.2594337481678295
100% Corpus,8,asymmetric,0.61,0.3385112859870584
100% Corpus,8,asymmetric,0.9099999999999999,0.3077743097669635
100% Corpus,8,asymmetric,symmetric,0.26067921625719054
100% Corpus,9,0.01,0.01,0.2703624952883086
100% Corpus,9,0.01,0.31,0.3046186871785946
100% Corpus,9,0.01,0.61,0.3207618525811328
100% Corpus,9,0.01,0.9099999999999999,0.3695680850211837
100% Corpus,9,0.01,symmetric,0.2722176264273345
100% Corpus,9,0.31,0.01,0.2696001165380509
100% Corpus,9,0.31,0.31,0.30528311871412994
100% Corpus,9,0.31,0.61,0.32119090977392817
100% Corpus,9,0.31,0.9099999999999999,0.36956808502118377
100% Corpus,9,0.31,symmetric,0.2695867203766895
100% Corpus,9,0.61,0.01,0.27509331711187884
100% Corpus,9,0.61,0.31,0.30528311871412994
100% Corpus,9,0.61,0.61,0.32073678356958363
100% Corpus,9,0.61,0.9099999999999999,0.36941701700544183
100% Corpus,9,0.61,symmetric,0.26987539631012736
100% Corpus,9,0.9099999999999999,0.01,0.2757345318897752
100% Corpus,9,0.9099999999999999,0.31,0.3050602260422498
100% Corpus,9,0.9099999999999999,0.61,0.31899956294312726
100% Corpus,9,0.9099999999999999,0.9099999999999999,0.36292373475755596
100% Corpus,9,0.9099999999999999,symmetric,0.26957109365999726
100% Corpus,9,symmetric,0.01,0.2696001165380508
100% Corpus,9,symmetric,0.31,0.30548186304728575
100% Corpus,9,symmetric,0.61,0.32079966980087243
100% Corpus,9,symmetric,0.9099999999999999,0.3695680850211837
100% Corpus,9,symmetric,symmetric,0.2741747548427627
100% Corpus,9,asymmetric,0.01,0.2721202413123813
100% Corpus,9,asymmetric,0.31,0.30481018984937674
100% Corpus,9,asymmetric,0.61,0.3211530925541885
100% Corpus,9,asymmetric,0.9099999999999999,0.3489856613890384
100% Corpus,9,asymmetric,symmetric,0.27133028097249784
100% Corpus,10,0.01,0.01,0.25221383821405724
100% Corpus,10,0.01,0.31,0.2539974451722582
100% Corpus,10,0.01,0.61,0.35375807043671637
100% Corpus,10,0.01,0.9099999999999999,0.3513489682177199
100% Corpus,10,0.01,symmetric,0.25226762336916825
100% Corpus,10,0.31,0.01,0.25159158372784585
100% Corpus,10,0.31,0.31,0.2519271180861794
100% Corpus,10,0.31,0.61,0.35998025652908433
100% Corpus,10,0.31,0.9099999999999999,0.3504427157231647
100% Corpus,10,0.31,symmetric,0.2500012011724398
100% Corpus,10,0.61,0.01,0.2522968271808298
100% Corpus,10,0.61,0.31,0.2518340386375359
100% Corpus,10,0.61,0.61,0.35556722313119
100% Corpus,10,0.61,0.9099999999999999,0.3510802999328123
100% Corpus,10,0.61,symmetric,0.2519617520644124
100% Corpus,10,0.9099999999999999,0.01,0.25188153209648434
100% Corpus,10,0.9099999999999999,0.31,0.2510041000339042
100% Corpus,10,0.9099999999999999,0.61,0.3547369971147549
100% Corpus,10,0.9099999999999999,0.9099999999999999,0.3483952225921139
100% Corpus,10,0.9099999999999999,symmetric,0.2511632672046814
100% Corpus,10,symmetric,0.01,0.2520383144492774
100% Corpus,10,symmetric,0.31,0.2519271180861794
100% Corpus,10,symmetric,0.61,0.35841457198179244
100% Corpus,10,symmetric,0.9099999999999999,0.34921911621276147
100% Corpus,10,symmetric,symmetric,0.2503859950174131
100% Corpus,10,asymmetric,0.01,0.2518856143831153
100% Corpus,10,asymmetric,0.31,0.2519271180861794
100% Corpus,10,asymmetric,0.61,0.31669484044385665
100% Corpus,10,asymmetric,0.9099999999999999,0.35206704090037316
100% Corpus,10,asymmetric,symmetric,0.2492035560395261
